x1-EAN concentration (wt%),x2-Protein concentration (mg/ml),y1-Rg,Rg_err,chi2_red,t_a,y1的指标，verdict,"y1的指标，如果低于0.9, y1就不太准 - R2_w (weighted R²)",y2-crystalline_present,n_real_peaks,CI,B_factor,B_fit_chi2_red,fwhm_avg,fwhm_min,fwhm_max,snr_peak1,Chi2,Oligo_fit_class,apparent Rg_fit,dimer,dimer_err,hexamer,hexamer_err,monomer,monomer_err,octamer,octamer_err,tetramer,tetramer_err,constant,constant_err
0,2.5,14.8,0.1,4.0,16.8,frown curvature / background?,0.98,FALSE,0,0,167,,0.001,-0.0004,0.00259,4866915518,,,,,,,,,,,,,,,
0,5,17.7,0.0,0.9,22.0,smile curvature / wideness,1.00,FALSE,0,0,148,,0.001,-0.0006,0.00258,4511672469,263.01,Borderline,15.5,0,0,0,0,1,0,0,0,0,0,0.00030722,5.0651E-07
0,25,18.5,0.1,4.5,40.7,smile curvature / wideness,0.99,FALSE,0,0,249,,0.005,0.0013,0.02328,32,,,,,,,,,,,,,,,
0,37.5,18.9,0.1,6.2,37.3,smile curvature / wideness,0.99,FALSE,0,0,303,,0.002,0.0013,0.00274,21576850414,,,,,,,,,,,,,,,
0,40,19.1,0.1,8.4,35.2,smile curvature / wideness,0.99,FALSE,0,0,298,,0.002,0.0015,0.00225,21655277720,,,,,,,,,,,,,,,
0,50,19.1,0.1,8.2,35.3,smile curvature / wideness,0.99,FALSE,0,0,313,,0.002,0.0017,0.00251,26206230247,,,,,,,,,,,,,,,
0,60,19.3,0.1,9.0,35.8,smile curvature / wideness,0.99,FALSE,0,0,327,,0.002,0.0016,0.00253,29763974399,,,,,,,,,,,,,,,
0,75,19.2,0.1,9.1,35.7,smile curvature / wideness,0.99,FALSE,0,0,338,,0.002,0.0017,0.00236,33616091122,,,,,,,,,,,,,,,
0,100,20.6,0.1,25.3,34.1,smile curvature / wideness,0.97,FALSE,0,0,356,,0.002,0.0018,0.00247,39695026841,,,,,,,,,,,,,,,
1.5,2.5,15.2,0.1,3.2,15.4,frown curvature / background?,0.99,TRUE,4,0.098468469,9,583.7373493,0.003,0.0021,0.00664,19,,,,,,,,,,,,,,,
1.5,5,16.4,0.0,0.5,2.0,borderline,1.00,FALSE,1,0.033511413,166,,0.004,0.0020,0.01362,8,107.5,OK,15.5,0,0,0,0,1,0,0,0,0,0,0.00010303,3.9857E-07
1.5,25,17.5,0.0,0.9,39.1,smile curvature / wideness,1.00,FALSE,0,0,264,,0.007,0.0009,0.04244,10418637512,,,,,,,,,,,,,,,
1.5,37.5,17.6,0.0,1.0,36.9,smile curvature / wideness,1.00,FALSE,0,0,309,,0.002,-0.0009,0.00262,273,,,,,,,,,,,,,,,
1.5,40,19.5,0.1,5.1,47.8,smile curvature / wideness,0.99,FALSE,0,0,307,,0.002,0.0019,0.00252,2,,,,,,,,,,,,,,,
1.5,50,19.6,0.1,6.2,44.7,smile curvature / wideness,0.99,TRUE,4,0.181616492,29,1149.462403,0.003,0.0021,0.00528,16,,,,,,,,,,,,,,,
1.5,60,19.9,0.1,7.1,47.5,smile curvature / wideness,0.99,TRUE,4,0.205156624,0,697.2854038,0.002,0.0021,0.00221,14,,,,,,,,,,,,,,,
1.5,75,19.7,0.1,6.1,49.5,smile curvature / wideness,0.99,TRUE,5,0.195690477,0,2.55657E+22,0.002,0.0018,0.00218,18,,,,,,,,,,,,,,,
1.5,100,20.5,0.1,11.4,44.8,smile curvature / wideness,0.99,TRUE,7,0.433160233,29,20249.51977,0.002,0.0020,0.00220,54,,,,,,,,,,,,,,,
5.7,2.5,16.0,0.0,0.3,0.6,borderline,1.00,FALSE,1,0.057985582,141,,0.002,0.0006,0.00228,4,,,,,,,,,,,,,,,
5.7,5,19.6,0.1,26.6,26.5,smile curvature / wideness,0.96,TRUE,7,0.684617962,-32,1.09289E+17,0.002,0.0009,0.00221,147,524.76,Borderline,31.5,0,0,0,0,0.832,0.001,0.168,0,0,0,0.00046761,6.2713E-07
5.7,25,19.0,0.1,6.3,34.4,smile curvature / wideness,0.99,TRUE,6,0.487795529,231,,0.002,0.0020,0.00226,32,,,,,,,,,,,,,,,
5.7,37.5,19.7,0.1,9.8,35.2,smile curvature / wideness,0.99,TRUE,6,0.551578449,0,6.94613E+19,0.002,0.0021,0.00230,50,,,,,,,,,,,,,,,
5.7,40,20.4,0.2,32.8,27.4,smile curvature / wideness,0.96,TRUE,7,0.774115889,-39,364602.9329,0.002,0.0020,0.00222,158,,,,,,,,,,,,,,,
5.7,50,20.4,0.2,35.2,27.9,smile curvature / wideness,0.96,TRUE,7,0.795790646,-3,542833.0139,0.002,0.0020,0.00221,261,,,,,,,,,,,,,,,
5.7,60,20.8,0.2,41.0,28.0,smile curvature / wideness,0.95,TRUE,7,0.789365184,-7,262221.958,0.002,0.0020,0.00221,244,968.25,Borderline,31.7,0,0,0,0,0.829,0.001,0.171,0,0,0,0,0
5.7,75,22.0,0.2,62.4,28.7,smile curvature / wideness,0.95,TRUE,7,0.883487954,29,47979.77771,0.002,0.0020,0.00222,419,,,,,,,,,,,,,,,
5.7,100,20.6,0.1,30.4,28.8,smile curvature / wideness,0.96,TRUE,7,0.98307479,39,457956.6508,0.002,0.0020,0.00218,645,,,,,,,,,,,,,,,
12,2.5,14.9,0.0,0.3,14.3,frown curvature / background?,1.00,FALSE,0,0,132,,0.002,0.0012,0.00340,3383934910,440.03,Borderline,15.4,0,0,0,0,0.999,0,0,0,0,0,0.00062495,6.6994E-07
12,5,18.1,0.1,7.8,25.6,smile curvature / wideness,0.98,TRUE,6,0.562226139,72,21763.50337,0.002,0.0010,0.00221,45,280.42,Borderline,27.4,0,0,0,0,0.912,0.001,0.087,0,0,0,0.00059777,6.8559E-07
12,25,19.3,0.1,12.0,31.3,smile curvature / wideness,0.98,TRUE,6,0.562710804,214,,0.002,0.0020,0.00223,99,910.09,Borderline,23.5,0.572,0.002,0,0,0.398,0.002,0.03,0.001,0,0,0,0
12,37.5,19.7,0.1,10.4,34.2,smile curvature / wideness,0.99,TRUE,7,0.640791199,-30,75408.96886,0.002,0.0021,0.00225,69,,,,,,,,,,,,,,,
12,40,19.9,0.1,28.3,26.7,smile curvature / wideness,0.96,TRUE,7,0.775509635,0,3.28536E+19,0.002,0.0020,0.00222,256,978.76,Borderline,30.2,0,0,0,0,0.865,0.001,0.135,0,0,0,0.000090915,4.3596E-07
12,50,20.9,0.2,50.2,26.9,smile curvature / wideness,0.95,TRUE,7,0.839174638,-12,521842.4761,0.002,0.0020,0.00220,250,,,,,,,,,,,,,,,
12,60,21.5,0.2,61.9,27.4,smile curvature / wideness,0.94,TRUE,7,0.869906612,186,,0.002,0.0020,0.00220,547,,,,,,,,,,,,,,,
12,75,21.2,0.2,54.0,28.4,smile curvature / wideness,0.95,TRUE,7,0.91265907,1,537850.5152,0.002,0.0020,0.00219,572,,,,,,,,,,,,,,,
12,100,22.1,0.2,71.1,29.4,smile curvature / wideness,0.94,TRUE,8,0.931577696,55,10057520.69,0.002,0.0018,0.00219,900,,,,,,,,,,,,,,,
24,2.5,13.9,0.1,1.7,18.6,frown curvature / background?,0.99,FALSE,0,0,92,,0.002,0.0008,0.00264,23,,,,,,,,,,,,,,,
24,5,15.3,0.0,0.2,7.8,smile curvature / wideness,1.00,FALSE,0,0,111,,0.001,-0.0004,0.00234,71,41.19,OK,17.2,0,0,0,0,0.992,0.001,0.007,0,0,0,0.000783,7.9295E-07
24,25,17.5,0.0,2.2,35.4,smile curvature / wideness,0.99,TRUE,4,0.349118161,4,1192.540134,0.002,0.0002,0.00219,19,474.5,Borderline,18.8,0.323,0.001,0,0,0.677,0.001,0,0,0,0,0,0
24,37.5,18.0,0.1,5.1,30.0,smile curvature / wideness,0.99,TRUE,7,0.784011351,16,69588.86388,0.002,0.0021,0.00221,61,710.29,Borderline,23.4,0.252,0.002,0,0,0.711,0.002,0.037,0.001,0,0,0,0
24,40,17.4,0.0,1.4,48.1,smile curvature / wideness,1.00,FALSE,0,0,267,,0.002,0.0017,0.00229,14589821899,,,,,,,,,,,,,,,
24,50,17.8,0.0,2.7,43.6,smile curvature / wideness,0.99,FALSE,1,0.038474667,271,,0.002,0.0014,0.00216,3,,,,,,,,,,,,,,,
24,60,18.0,0.1,3.1,44.9,smile curvature / wideness,0.99,TRUE,4,0.369227359,54,3086.003948,0.002,0.0011,0.00219,19,,,,,,,,,,,,,,,
24,75,18.2,0.1,3.6,47.7,smile curvature / wideness,0.99,FALSE,0,0,312,,0.002,0.0015,0.00298,14,,,,,,,,,,,,,,,
24,100,17.3,0.0,2.1,57.2,smile curvature / wideness,0.99,FALSE,0,0,335,,0.002,0.0017,0.00258,306,,,,,,,,,,,,,,,
30,2.5,13.2,0.1,6.2,18.4,frown curvature / background?,0.96,FALSE,0,0,79,,0.001,0.0004,0.00336,20,,,,,,,,,,,,,,,
30,5,14.1,0.0,1.4,17.9,frown curvature / background?,0.99,FALSE,0,0,113,,0.002,0.0012,0.00233,2702214536,,,,,,,,,,,,,,,
30,25,18.0,0.1,6.6,30.2,smile curvature / wideness,0.99,TRUE,7,0.745319278,0,4.12664E+21,0.002,0.0020,0.00220,59,903.46,Borderline,24.6,0.048,0.002,0,0,0.899,0.002,0.053,0.001,0,0,0.000040373,4.4763E-07
30,37.5,19.7,0.1,24.9,26.8,smile curvature / wideness,0.97,TRUE,7,0.87437067,-23,454919.0653,0.002,0.0020,0.00221,349,,,,,,,,,,,,,,,
30,40,18.0,0.1,4.2,34.4,smile curvature / wideness,0.99,TRUE,6,0.726403236,0,9.99544E+20,0.002,0.0018,0.00223,67,,,,,,,,,,,,,,,
30,50,18.5,0.1,6.6,33.9,smile curvature / wideness,0.99,TRUE,6,0.592693574,245,,0.002,0.0018,0.00222,40,,,,,,,,,,,,,,,
30,60,18.4,0.1,4.8,39.9,smile curvature / wideness,0.99,TRUE,5,0.391570237,263,,0.002,0.0014,0.00221,19,,,,,,,,,,,,,,,
