0.01005966 1.99538 0.0199538
0.01036919 1.95493 0.0195493
0.01067872 1.91948 0.0191948
0.01098825 1.93331 0.0193331
0.01129777 1.85839 0.0185839
0.0116073 1.8848 0.018848
0.01191683 1.81885 0.0181885
0.01222635 1.7984 0.017984
0.01253588 1.774964 0.01774964
0.01284541 1.76613 0.0176613
0.01315494 1.714643 0.01714643
0.01346446 1.672461 0.01672461
0.01377399 1.676387 0.01676387
0.01408352 1.653021 0.01653021
0.01439304 1.59241 0.0159241
0.01470257 1.578834 0.01578834
0.0150121 1.555195 0.01555195
0.01532162 1.531478 0.01531478
0.01563115 1.506842 0.01506842
0.01594068 1.50974 0.0150974
0.0162502 1.492377 0.01492377
0.01655973 1.458989 0.01458989
0.01686925 1.443577 0.01443577
0.01717878 1.424378 0.01424378
0.0174883 1.365859 0.01365859
0.01779783 1.38557 0.0138557
0.01810735 1.387488 0.01387488
0.01841688 1.34999 0.0134999
0.01872641 1.321828 0.01321828
0.01903593 1.308377 0.01308377
0.01934546 1.292218 0.01292218
0.01965498 1.275653 0.01275653
0.01996451 1.264163 0.01264163
0.02027403 1.248759 0.01248759
0.02058356 1.250318 0.01250318
0.02089308 1.233301 0.01233301
0.0212026 1.20479 0.0120479
0.02151213 1.202249 0.01202249
0.02182165 1.197381 0.01197381
0.02213118 1.186528 0.01186528
0.0224407 1.171432 0.01171432
0.02275023 1.17285 0.0117285
0.02305975 1.163327 0.01163327
0.02336927 1.153423 0.01153423
0.0236788 1.145215 0.01145215
0.02398832 1.118659 0.01118659
0.02429784 1.129429 0.01129429
0.02460737 1.111772 0.01111772
0.02491689 1.097349 0.01097349
0.02522641 1.09653 0.0109653
0.02553594 1.080672 0.01080672
0.02584546 1.071126 0.01071126
0.02615498 1.070984 0.01070984
0.0264645 1.068502 0.01068502
0.02677402 1.056727 0.01056727
0.02708355 1.028847 0.01028847
0.02739307 1.0389 0.010389
0.02770259 1.03397 0.0103397
0.02801211 1.020304 0.01020304
0.02832163 1.006163 0.01006163
0.02863115 1.004126 0.01004126
0.02894068 0.993205 0.00993205
0.0292502 0.98159 0.0098159
0.02955972 0.982022 0.00982022
0.02986924 0.966235 0.00966235
0.03017876 0.964707 0.00964707
0.03048828 0.956901 0.00956901
0.0307978 0.952297 0.00952297
0.03110732 0.93893 0.0093893
0.03141684 0.945074 0.00945074
0.03172636 0.929346 0.00929346
0.03203588 0.937866 0.00937866
0.0323454 0.926063 0.00926063
0.03265492 0.920091 0.00920091
0.03296444 0.917269 0.00917269
0.03327395 0.910489 0.00910489
0.03358347 0.899726 0.00899726
0.03389299 0.900053 0.00900053
0.03420251 0.89242 0.0089242
0.03451203 0.895668 0.00895668
0.03482155 0.879016 0.00879016
0.03513106 0.872645 0.00872645
0.03544058 0.867514 0.00867514
0.0357501 0.872501 0.00872501
0.03605961 0.859297 0.00859297
0.03636913 0.865822 0.00865822
0.03667865 0.855976 0.00855976
0.03698816 0.853796 0.00853796
0.03729768 0.846443 0.00846443
0.0376072 0.842286 0.00842286
0.03791671 0.837476 0.00837476
0.03822623 0.834942 0.00834942
0.03853574 0.83328 0.0083328
0.03884526 0.8184 0.008184
0.03915477 0.824309 0.00824309
0.03946429 0.824029 0.00824029
0.0397738 0.808539 0.00808539
